,date,ret
0,1999-12-31,-0.00161290320102125
1,2000-01-03,-0.0306946691125631
2,2000-01-04,-0.0387500002980232
3,2000-01-05,-0.00520156044512987
4,2000-01-06,0.0155773423612118
5,2000-01-07,0.0387214422225952
6,2000-01-10,-0.000413052446674556
7,2000-01-11,0.00247933878563344
8,2000-01-12,0.00247320695780218
9,2000-01-13,0.0115131577476859
10,2000-01-14,-0.0178861785680056
11,2000-01-18,-0.0198675505816936
12,2000-01-19,0.0048564188182354
13,2000-01-20,-0.0187014080584049
14,2000-01-21,-0.0124197006225586
15,2000-01-24,-0.0416305288672447
16,2000-01-25,0.00271493219770491
17,2000-01-26,0.0212093871086836
18,2000-01-27,0.00220945640467107
19,2000-01-28,-0.054673720151186
20,2000-01-31,-0.0027985074557364
21,2000-02-01,0.0177736207842827
22,2000-02-02,-0.014246323145926
23,2000-02-03,0.0386946387588978
24,2000-02-04,0.0166068226099014
25,2000-02-07,-0.0357615910470486
26,2000-02-08,0.00412087934091687
27,2000-02-09,-0.0218878258019686
28,2000-02-10,0.0102564105764031
29,2000-02-11,-0.0124596217647195
30,2000-02-14,0.00467289704829454
31,2000-02-15,0.0232558138668537
32,2000-02-16,-0.0134090911597013
33,2000-02-17,-0.0352453365921974
34,2000-02-18,-0.0429799444973469
35,2000-02-22,0.0349301397800446
36,2000-02-23,0.00675024092197418
37,2000-02-24,0.00383141753263772
38,2000-02-25,-0.0372137390077114
39,2000-02-28,0.0222993064671755
40,2000-02-29,0.0266602039337158
41,2000-03-01,-0.00755429640412331
42,2000-03-02,0.0294957179576159
43,2000-03-03,0.0304990764707327
44,2000-03-06,-0.0109596410766244
45,2000-03-07,-0.0545702576637268
46,2000-03-08,0.00288600288331509
47,2000-03-09,0.011031175032258
48,2000-03-10,-0.000474383297841996
49,2000-03-13,-0.0170859042555094
50,2000-03-14,-0.0188314821571112
51,2000-03-15,0.0516732297837734
52,2000-03-16,0.0407112762331963
53,2000-03-17,0.00629496388137341
54,2000-03-20,0.00759606808423996
55,2000-03-21,0.0643015503883362
56,2000-03-22,0.0058333333581686
57,2000-03-23,0.0604805313050747
58,2000-03-24,-0.005859375
59,2000-03-27,-0.00707269133999944
60,2000-03-28,-0.0122675113379955
61,2000-03-29,0.0480769239366055
62,2000-03-30,-0.0290519874542952
63,2000-03-31,-0.0196850392967463
64,2000-04-03,0.0200803205370903
65,2000-04-04,-0.0330708660185337
66,2000-04-05,-0.0012214983580634
67,2000-04-06,0.0232368521392345
68,2000-04-07,0.0123505974188447
69,2000-04-10,0.00393545860424638
70,2000-04-11,0.0137201100587845
71,2000-04-12,-0.0301624126732349
72,2000-04-13,-0.0414673052728176
73,2000-04-14,-0.0299500823020935
74,2000-04-17,0.0428816452622414
75,2000-04-18,0.0296052638441324
76,2000-04-19,-0.00638977624475956
77,2000-04-20,0.0160771701484919
78,2000-04-24,0.0257120244204998
79,2000-04-25,0.0242961812764406
80,2000-04-26,-0.0165662653744221
81,2000-04-27,-0.0107197547331452
82,2000-04-28,-0.0263157896697521
83,2000-05-01,0.013513513840735
84,2000-05-02,0.0105882352218032
85,2000-05-03,-0.0310438498854637
86,2000-05-04,-0.0132158594205976
87,2000-05-05,0.0154220778495073
88,2000-05-08,0.00599520374089479
89,2000-05-09,-0.0107270563021302
90,2000-05-10,-0.022891566157341
91,2000-05-11,0.00493218237534165
92,2000-05-12,0.0257668718695641
93,2000-05-15,0.0334928222000599
94,2000-05-16,0.00694444449618459
95,2000-05-17,-0.0137931033968925
96,2000-05-18,-0.00932400953024626
97,2000-05-19,-0.0235294122248888
98,2000-05-22,-0.0361445769667625
99,2000-05-23,-0.00999999977648258
100,2000-05-24,0.0252525247633457
101,2000-05-25,0.0
102,2000-05-26,-0.0233990140259266
103,2000-05-30,0.039092056453228
104,2000-05-31,0.0230582524091005
105,2000-06-01,-0.00593119813129306
106,2000-06-02,0.00596658699214458
107,2000-06-05,-0.0225385520607233
108,2000-06-06,-0.00606796098873019
109,2000-06-07,0.00366300367750227
110,2000-06-08,-0.00973236002027988
111,2000-06-09,-0.0319410301744938
112,2000-06-12,0.0126903550699353
113,2000-06-13,0.0263157896697521
114,2000-06-14,-0.00610500620678067
115,2000-06-15,0.0196560192853212
116,2000-06-16,-0.014457831159234
117,2000-06-19,0.00366748170927167
118,2000-06-20,-0.00730816088616848
119,2000-06-21,-0.0294478535652161
120,2000-06-22,-0.0189633369445801
121,2000-06-23,0.0167525764554739
122,2000-06-26,0.0126742711290717
123,2000-06-27,-0.00876095145940781
124,2000-06-28,0.0202020201832056
125,2000-06-29,-0.0148514853790402
126,2000-06-30,0.0653266310691833
127,2000-07-03,-0.0224056597799063
128,2000-07-05,-0.0359630212187767
129,2000-07-06,0.00752823101356626
130,2000-07-07,0.0224159397184849
131,2000-07-10,0.0219244826585054
132,2000-07-11,0.0143027417361736
133,2000-07-12,0.00117508810944855
134,2000-07-13,-0.0164319239556789
135,2000-07-14,-0.00357995228841901
136,2000-07-17,0.0287425145506859
137,2000-07-18,-0.0221187435090542
138,2000-07-19,0.0119047621265054
139,2000-07-20,0.0211764704436064
140,2000-07-21,-0.00115207373164594
141,2000-07-24,-0.00807381793856621
142,2000-07-25,0.00232558138668537
143,2000-07-26,-0.031322505325079
144,2000-07-27,0.00119760481175035
145,2000-07-28,-0.0263157896697521
146,2000-07-31,0.0110565107315779
147,2000-08-01,0.0255164038389921
148,2000-08-02,-0.00829383917152882
149,2000-08-03,-0.00597371580079198
150,2000-08-04,0.015625
151,2000-08-07,0.00710059190168977
